// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sverma\source\repos\PerformanceBenchmark\PerformanceBenchmark\bin\Release\netcoreapp2.2\8f6beba7-3f9d-4eca-9d6d-50e8bc324e1b
// command took 3.08s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sverma\source\repos\PerformanceBenchmark\PerformanceBenchmark\bin\Release\netcoreapp2.2\8f6beba7-3f9d-4eca-9d6d-50e8bc324e1b
// command took 4.48s and exited with 0
// ***** Done, took 00:00:08 (8.13 sec)   *****
// Found 6 benchmarks:
//   ForEachVsFor.StringBuilder: Core(Runtime=Core) [N=10]
//   ForEachVsFor.String: Core(Runtime=Core) [N=10]
//   ForEachVsFor.StringBuilder: Core(Runtime=Core) [N=100]
//   ForEachVsFor.String: Core(Runtime=Core) [N=100]
//   ForEachVsFor.StringBuilder: Core(Runtime=Core) [N=1000]
//   ForEachVsFor.String: Core(Runtime=Core) [N=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ForEachVsFor.StringBuilder: Core(Runtime=Core) [N=10]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "8f6beba7-3f9d-4eca-9d6d-50e8bc324e1b.dll" --benchmarkName "PerformanceBenchmark.ForEachVsFor.StringBuilder(N: 10)" --job "Core" --benchmarkId 0 in C:\Users\sverma\source\repos\PerformanceBenchmark\PerformanceBenchmark\bin\Release\netcoreapp2.2\8f6beba7-3f9d-4eca-9d6d-50e8bc324e1b\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Core(Runtime=Core)

WorkloadResult  70: 16777216 op, 933406486.57 ns, 55.6354 ns/op
WorkloadResult  71: 16777216 op, 938747475.10 ns, 55.9537 ns/op
WorkloadResult  72: 16777216 op, 918121982.11 ns, 54.7243 ns/op
WorkloadResult  73: 16777216 op, 927220917.30 ns, 55.2667 ns/op
WorkloadResult  74: 16777216 op, 948261407.22 ns, 56.5208 ns/op
WorkloadResult  75: 16777216 op, 935263397.23 ns, 55.7460 ns/op
WorkloadResult  76: 16777216 op, 917500580.74 ns, 54.6873 ns/op
WorkloadResult  77: 16777216 op, 944425785.39 ns, 56.2922 ns/op
WorkloadResult  78: 16777216 op, 932567375.92 ns, 55.5853 ns/op
WorkloadResult  79: 16777216 op, 924275824.90 ns, 55.0911 ns/op
WorkloadResult  80: 16777216 op, 953211467.19 ns, 56.8158 ns/op
WorkloadResult  81: 16777216 op, 1017302964.89 ns, 60.6360 ns/op
WorkloadResult  82: 16777216 op, 923217910.95 ns, 55.0281 ns/op
WorkloadResult  83: 16777216 op, 939978608.33 ns, 56.0271 ns/op
WorkloadResult  84: 16777216 op, 945051927.49 ns, 56.3295 ns/op
WorkloadResult  85: 16777216 op, 1218836848.96 ns, 72.6483 ns/op
WorkloadResult  86: 16777216 op, 1002545047.04 ns, 59.7563 ns/op
WorkloadResult  87: 16777216 op, 1246853152.72 ns, 74.3182 ns/op
WorkloadResult  88: 16777216 op, 996866007.41 ns, 59.4178 ns/op
WorkloadResult  89: 16777216 op, 937477686.62 ns, 55.8780 ns/op
WorkloadResult  90: 16777216 op, 934260913.45 ns, 55.6863 ns/op
WorkloadResult  91: 16777216 op, 941598846.76 ns, 56.1237 ns/op
WorkloadResult  92: 16777216 op, 918914050.05 ns, 54.7715 ns/op
WorkloadResult  93: 16777216 op, 1076407570.74 ns, 64.1589 ns/op
WorkloadResult  94: 16777216 op, 1302549897.18 ns, 77.6380 ns/op
WorkloadResult  95: 16777216 op, 1134167994.99 ns, 67.6017 ns/op
WorkloadResult  96: 16777216 op, 1192403951.73 ns, 71.0728 ns/op
WorkloadResult  97: 16777216 op, 1046253923.42 ns, 62.3616 ns/op
GC:  0 0 0 0 0

// AfterAll

Mean = 61.0001 ns, StdErr = 0.7414 ns (1.22%); N = 97, StdDev = 7.3020 ns
Min = 54.3674 ns, Q1 = 55.6954 ns, Median = 56.7583 ns, Q3 = 65.0599 ns, Max = 81.5637 ns
IQR = 9.3645 ns, LowerFence = 41.6486 ns, UpperFence = 79.1067 ns
ConfidenceInterval = [58.4832 ns; 63.5170 ns] (CI 99.9%), Margin = 2.5169 ns (4.13% of Mean)
Skewness = 1.13, Kurtosis = 2.96, MValue = 2.43

// **************************
// Benchmark: ForEachVsFor.String: Core(Runtime=Core) [N=10]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "8f6beba7-3f9d-4eca-9d6d-50e8bc324e1b.dll" --benchmarkName "PerformanceBenchmark.ForEachVsFor.String(N: 10)" --job "Core" --benchmarkId 1 in C:\Users\sverma\source\repos\PerformanceBenchmark\PerformanceBenchmark\bin\Release\netcoreapp2.2\8f6beba7-3f9d-4eca-9d6d-50e8bc324e1b\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Core(Runtime=Core)

OverheadJitting  1: 1 op, 353732.00 ns, 353.7320 us/op
WorkloadJitting  1: 1 op, 658962.60 ns, 658.9626 us/op

OverheadJitting  2: 16 op, 437606.60 ns, 27.3504 us/op
WorkloadJitting  2: 16 op, 577640.71 ns, 36.1025 us/op

WorkloadPilot    1: 16 op, 6928.77 ns, 433.0482 ns/op
WorkloadPilot    2: 32 op, 11669.51 ns, 364.6722 ns/op
WorkloadPilot    3: 64 op, 22245.00 ns, 347.5782 ns/op
WorkloadPilot    4: 128 op, 35008.53 ns, 273.5041 ns/op
WorkloadPilot    5: 256 op, 62723.61 ns, 245.0141 ns/op
WorkloadPilot    6: 512 op, 114142.39 ns, 222.9344 ns/op
WorkloadPilot    7: 1024 op, 290643.72 ns, 283.8318 ns/op
WorkloadPilot    8: 2048 op, 729344.33 ns, 356.1252 ns/op
WorkloadPilot    9: 4096 op, 1505002.03 ns, 367.4321 ns/op
WorkloadPilot   10: 8192 op, 2264249.47 ns, 276.3976 ns/op
WorkloadPilot   11: 16384 op, 3419166.22 ns, 208.6893 ns/op
WorkloadPilot   12: 32768 op, 6662925.13 ns, 203.3363 ns/op
WorkloadPilot   13: 65536 op, 14642681.45 ns, 223.4296 ns/op
WorkloadPilot   14: 131072 op, 29627060.72 ns, 226.0365 ns/op
WorkloadPilot   15: 262144 op, 55077895.80 ns, 210.1055 ns/op
WorkloadPilot   16: 524288 op, 166441481.60 ns, 317.4619 ns/op
WorkloadPilot   17: 1048576 op, 302095880.34 ns, 288.1011 ns/op
WorkloadPilot   18: 2097152 op, 449963149.88 ns, 214.5591 ns/op
WorkloadPilot   19: 4194304 op, 1107639188.98 ns, 264.0818 ns/op

OverheadWarmup   1: 4194304 op, 7778821.96 ns, 1.8546 ns/op
OverheadWarmup   2: 4194304 op, 8216793.23 ns, 1.9590 ns/op
OverheadWarmup   3: 4194304 op, 7556371.93 ns, 1.8016 ns/op
OverheadWarmup   4: 4194304 op, 7646445.96 ns, 1.8231 ns/op
OverheadWarmup   5: 4194304 op, 7499847.75 ns, 1.7881 ns/op

OverheadActual   1: 4194304 op, 7504588.49 ns, 1.7892 ns/op
OverheadActual   2: 4194304 op, 8278787.49 ns, 1.9738 ns/op
OverheadActual   3: 4194304 op, 8320360.12 ns, 1.9837 ns/op
OverheadActual   4: 4194304 op, 9415835.31 ns, 2.2449 ns/op
OverheadActual   5: 4194304 op, 8002730.67 ns, 1.9080 ns/op
OverheadActual   6: 4194304 op, 7461557.17 ns, 1.7790 ns/op
OverheadActual   7: 4194304 op, 7496930.37 ns, 1.7874 ns/op
OverheadActual   8: 4194304 op, 7419619.87 ns, 1.7690 ns/op
OverheadActual   9: 4194304 op, 7594297.84 ns, 1.8106 ns/op
OverheadActual  10: 4194304 op, 7612531.45 ns, 1.8150 ns/op
OverheadActual  11: 4194304 op, 7774081.22 ns, 1.8535 ns/op
OverheadActual  12: 4194304 op, 7822217.94 ns, 1.8650 ns/op
OverheadActual  13: 4194304 op, 9923458.96 ns, 2.3659 ns/op
OverheadActual  14: 4194304 op, 11525099.11 ns, 2.7478 ns/op
OverheadActual  15: 4194304 op, 11567036.41 ns, 2.7578 ns/op
